A1,A2,A3,A4,Activity
0.355,0.063,0.405,0.177,147.7
0.247,0.382,0.090,0.282,115
0.294,0.316,0.312,0.078,87.9
0.136,0.196,0.378,0.290,98.7
0.115,0.265,0.298,0.322,106.1
0.716,0.085,0.190,0.008,118.8
0.508,0.068,0.299,0.125,169.4
0.377,0.110,0.329,0.184,115
0.132,0.442,0.188,0.238,126.4
0.219,0.227,0.269,0.285,129.1
0.455,0.540,0.002,0.003,119.7
0.282,0.355,0.125,0.238,114.4
0.114,0.361,0.311,0.215,110.3
0.324,0.170,0.280,0.225,154.8
0.357,0.395,0.135,0.113,184.6
0.227,0.168,0.293,0.312,202
0.428,0.042,0.372,0.158,186.1
0.524,0.030,0.313,0.133,170.2
0.626,0.162,0.053,0.159,111.6
0.198,0.197,0.272,0.333,143.4
0.180,0.180,0.325,0.315,156.8
0.329,0.083,0.519,0.068,195.8
0.008,0.267,0.225,0.500,98.8
0.078,0.113,0.223,0.585,166.4
0.038,0.027,0.342,0.593,79.8
0.040,0.028,0.360,0.572,128.7
0.082,0.023,0.310,0.585,126.4
0.032,0.100,0.272,0.597,111.8
0.035,0.033,0.365,0.567,136.6
0.027,0.063,0.340,0.570,166.4
0.043,0.040,0.355,0.562,116.1
0.035,0.020,0.380,0.565,134.4
0.043,0.035,0.367,0.555,74.4
0.015,0.043,0.407,0.535,109.1
0.073,0.030,0.365,0.532,118.9
0.035,0.043,0.375,0.547,102
0.020,0.073,0.345,0.562,168.2
0.047,0.042,0.346,0.566,180.6
0.052,0.050,0.377,0.522,115.3
0.042,0.038,0.385,0.535,133.3
0.043,0.075,0.360,0.522,94.7
0.022,0.077,0.387,0.515,98.6
0.062,0.073,0.334,0.531,107.9
0.339,0.023,0.002,0.636,139.8
0.388,0.028,0.030,0.553,167.4
0.337,0.005,0.057,0.602,275.6
0.337,0.028,0.057,0.578,189.7
0.374,0.038,0.057,0.531,176.3
0.355,0.053,0.052,0.540,109
0.382,0.037,0.030,0.552,116.6
0.354,0.035,0.055,0.556,131.1
0.351,0.045,0.032,0.572,107.5
0.400,0.000,0.045,0.555,180
0.357,0.047,0.108,0.488,281.8
0.402,0.012,0.112,0.475,195.2
0.435,0.033,0.072,0.460,137.8
0.414,0.008,0.070,0.507,117.9
0.412,0.032,0.080,0.477,121.5
0.417,0.047,0.028,0.508,121
0.428,0.033,0.022,0.517,96.4
0.414,0.033,0.013,0.539,150
0.457,0.008,0.002,0.533,232.2
0.427,0.077,0.008,0.488,156.5
0.420,0.030,0.007,0.543,193.4
0.378,0.167,0.000,0.455,123.9
0.403,0.088,0.033,0.476,133.3
0.369,0.110,0.027,0.494,135.9
0.326,0.130,0.002,0.543,86.7
0.295,0.097,0.107,0.502,225.6
0.290,0.137,0.112,0.461,191.6
0.256,0.131,0.118,0.494,172.1
0.240,0.127,0.123,0.510,205.2
0.695,0.115,0.183,0.007,102.2
0.690,0.057,0.137,0.117,98.6
0.740,0.062,0.148,0.050,90.3
0.743,0.045,0.148,0.063,79.4
0.757,0.023,0.135,0.085,117.3
0.687,0.097,0.148,0.068,137.3
0.758,0.047,0.123,0.072,104.1
0.875,0.033,0.088,0.003,96.7
0.872,0.012,0.085,0.032,89.8
0.872,0.027,0.070,0.032,83.4
0.895,0.042,0.042,0.022,90.4
0.910,0.012,0.045,0.033,89.9
0.908,0.013,0.047,0.032,115.2
0.892,0.015,0.047,0.047,108.3
0.590,0.205,0.025,0.180,128.6
0.575,0.237,0.030,0.158,126.5
0.552,0.250,0.007,0.192,114.8
0.532,0.245,0.085,0.138,106.4
0.560,0.213,0.075,0.152,116.6
0.556,0.247,0.090,0.107,95.8
0.533,0.257,0.073,0.137,156.1
0.538,0.215,0.095,0.152,170.7
0.546,0.195,0.143,0.116,148.6
0.581,0.204,0.102,0.114,147.4
0.523,0.203,0.142,0.132,137
0.546,0.179,0.135,0.140,117.9
0.482,0.182,0.192,0.145,134.9
0.491,0.205,0.177,0.127,110.5
0.492,0.197,0.155,0.155,191.6
0.340,0.118,0.438,0.103,218.6
0.388,0.097,0.432,0.083,220.4
0.378,0.118,0.432,0.072,262.3
0.385,0.115,0.422,0.078,197.8
0.359,0.114,0.419,0.109,145.9
0.320,0.087,0.453,0.140,185.2
0.311,0.058,0.479,0.152,133.7
0.318,0.052,0.462,0.168,295.2
0.013,0.285,0.426,0.276,52.3
0.339,0.290,0.262,0.109,127.2
0.097,0.269,0.235,0.399,101.2
0.161,0.381,0.153,0.304,118.8
0.287,0.177,0.158,0.378,144.3
0.235,0.199,0.279,0.287,139.5
0.250,0.308,0.327,0.115,162.5
0.171,0.454,0.230,0.145,124.1
0.053,0.197,0.500,0.250,48.6
0.467,0.152,0.118,0.263,116.6
0.492,0.340,0.057,0.112,108.3
0.207,0.358,0.332,0.103,103.1
0.206,0.125,0.156,0.512,146.3
0.195,0.309,0.180,0.316,110.7
0.283,0.345,0.335,0.037,150.4
0.255,0.168,0.267,0.310,152.2
0.105,0.351,0.351,0.194,80.7
0.288,0.335,0.312,0.065,104.6
0.184,0.252,0.257,0.307,99.1
0.030,0.290,0.574,0.105,38.8
0.305,0.112,0.283,0.300,127.7
0.360,0.128,0.097,0.415,111.6
0.282,0.273,0.087,0.358,162.5
0.253,0.678,0.063,0.005,128.8
0.191,0.288,0.502,0.018,102
0.198,0.210,0.452,0.140,105.7
0.128,0.072,0.095,0.705,131.5
0.067,0.148,0.312,0.473,91.4
0.145,0.126,0.278,0.451,123.1
0.293,0.287,0.178,0.242,132.6
